entities,group,test,framework,unit,timestamp,median,ci_lower,ci_upper,rounds
100,system,throughput,evolved,s,2026-03-15 16:02:35Z,6.292e-6,6.292e-6,6.292e-6,1000
100,system,throughput,lovetoys,s,2026-03-15 16:02:39Z,0.000012667,0.000012625,0.000012667,1000
100,system,throughput,nata,s,2026-03-15 16:02:45Z,5.458e-6,5.458e-6,5.458e-6,1000
100,system,throughput,tinyecs,s,2026-03-15 16:02:48Z,7.375e-6,7.375e-6,7.375e-6,1000
100,system,throughput,concord,kb,2026-03-15 16:02:53Z,0.0001,0.0001,0.0001,310
100,system,throughput,ecs-lua,kb,2026-03-15 16:03:00Z,16.9063,16.9063,16.9063,259
100,system,throughput,evolved,kb,2026-03-15 16:03:07Z,0.0001,0.0001,0.0001,152
100,system,throughput,lovetoys,kb,2026-03-15 16:03:10Z,0.0001,0.0001,0.0001,514
100,system,throughput,nata,kb,2026-03-15 16:03:16Z,0.0001,0.0001,0.0001,232
100,system,throughput,tinyecs,kb,2026-03-15 16:03:19Z,0.0001,0.0001,0.0001,352
100,system,overlap,concord,s,2026-03-15 16:03:22Z,7.208e-6,7.208e-6,7.208e-6,1000
100,system,overlap,ecs-lua,s,2026-03-15 16:03:34Z,0.000140833,0.00014075,0.000140958,1000
100,system,overlap,evolved,s,2026-03-15 16:03:45Z,8.875e-6,8.875e-6,8.875e-6,1000
100,system,overlap,lovetoys,s,2026-03-15 16:03:49Z,0.000018208,0.000018208,0.000018208,1000
100,system,overlap,nata,s,2026-03-15 16:03:57Z,6.708e-6,6.708e-6,6.708e-6,1000
100,system,overlap,tinyecs,s,2026-03-15 16:04:01Z,9.667e-6,9.667e-6,9.667e-6,1000
100,system,overlap,concord,kb,2026-03-15 16:04:06Z,0.0001,0.0001,0.0001,109
100,system,overlap,ecs-lua,kb,2026-03-15 16:04:17Z,49.4063,49.4063,49.4063,100
100,system,overlap,evolved,kb,2026-03-15 16:04:29Z,0.0001,0.0001,0.0001,100
100,system,overlap,lovetoys,kb,2026-03-15 16:04:32Z,0.0001,0.0001,0.0001,195
100,system,overlap,nata,kb,2026-03-15 16:04:41Z,0.0001,0.0001,0.0001,100
100,system,overlap,tinyecs,kb,2026-03-15 16:04:46Z,0.0001,0.0001,0.0001,138
100,system,fragmented,concord,s,2026-03-15 16:04:50Z,3.75e-6,3.75e-6,3.75e-6,1000
100,system,fragmented,ecs-lua,s,2026-03-15 16:04:59Z,0.000044083,0.000043958,0.000044167,1000
100,system,fragmented,evolved,s,2026-03-15 16:05:06Z,0.000011708,0.000011708,0.00001175,1000
100,system,fragmented,lovetoys,s,2026-03-15 16:05:10Z,7.583e-6,7.542e-6,7.583e-6,1000
100,system,fragmented,nata,s,2026-03-15 16:05:16Z,3.375e-6,3.375e-6,3.375e-6,1000
100,system,fragmented,tinyecs,s,2026-03-15 16:05:21Z,5.375e-6,5.375e-6,5.375e-6,1000
100,system,fragmented,concord,kb,2026-03-15 16:05:24Z,0.0001,0.0001,0.0001,111
100,system,fragmented,ecs-lua,kb,2026-03-15 16:05:34Z,12.7734,12.7734,12.7734,100
100,system,fragmented,evolved,kb,2026-03-15 16:05:43Z,0.0001,0.0001,0.0001,100
100,system,fragmented,lovetoys,kb,2026-03-15 16:05:47Z,0.0001,0.0001,0.0001,134
100,system,fragmented,nata,kb,2026-03-15 16:05:54Z,0.0001,0.0001,0.0001,100
100,system,fragmented,tinyecs,kb,2026-03-15 16:05:59Z,0.0001,0.0001,0.0001,108
100,system,chained,concord,s,2026-03-15 16:06:03Z,0.000011292,0.00001125,0.000011292,873
100,system,chained,ecs-lua,s,2026-03-15 16:06:17Z,0.000185833,0.000185667,0.000186083,996
100,system,chained,evolved,s,2026-03-15 16:06:31Z,0.000011625,0.000011625,0.000011625,1000
100,system,chained,lovetoys,s,2026-03-15 16:06:35Z,0.000045167,0.0000425,0.000045292,1000
100,system,chained,nata,s,2026-03-15 16:06:46Z,0.000010375,0.000010375,0.000010375,1000
100,system,chained,tinyecs,s,2026-03-15 16:06:52Z,0.000018125,0.000018125,0.000018125,1000
100,system,chained,concord,kb,2026-03-15 16:06:58Z,0.0001,0.0001,0.0001,100
100,system,chained,ecs-lua,kb,2026-03-15 16:07:16Z,65.0234,65.0234,65.0234,100
100,system,chained,evolved,kb,2026-03-15 16:07:35Z,0.0001,0.0001,0.0001,100
100,system,chained,lovetoys,kb,2026-03-15 16:07:40Z,0.0001,0.0001,0.0001,100
100,system,chained,nata,kb,2026-03-15 16:07:54Z,0.0001,0.0001,0.0001,100
100,system,chained,tinyecs,kb,2026-03-15 16:08:04Z,0.0001,0.0001,0.0001,100
100,system,multi_20,concord,s,2026-03-15 16:08:11Z,0.000052542,0.0000525,0.000052583,295
100,system,multi_20,ecs-lua,s,2026-03-15 16:08:51Z,0.000550667,0.000549583,0.0005515835,450
100,system,multi_20,evolved,s,2026-03-15 16:09:19Z,0.000061625,0.000061583,0.000061625,1000
100,system,multi_20,lovetoys,s,2026-03-15 16:09:24Z,0.000132083,0.000132,0.000132125,341
100,system,multi_20,nata,s,2026-03-15 16:09:52Z,0.000052375,0.000052333,0.000052417,498
100,system,multi_20,tinyecs,s,2026-03-15 16:10:16Z,0.000088583,0.0000885625,0.000088583,1000
100,system,multi_20,concord,kb,2026-03-15 16:10:29Z,0.0001,0.0001,0.0001,100
100,system,multi_20,ecs-lua,kb,2026-03-15 16:11:22Z,166.8984,166.8984,166.8984,100
100,system,multi_20,evolved,kb,2026-03-15 16:12:08Z,0.0001,0.0001,0.0001,100
100,system,multi_20,lovetoys,kb,2026-03-15 16:12:23Z,0.0001,0.0001,0.0001,100
100,system,multi_20,nata,kb,2026-03-15 16:13:05Z,0.0001,0.0001,0.0001,100
100,system,multi_20,tinyecs,kb,2026-03-15 16:13:42Z,0.0001,0.0001,0.0001,100
100,system,empty_systems,concord,s,2026-03-15 16:14:07Z,2.625e-6,2.625e-6,2.625e-6,503
100,system,empty_systems,ecs-lua,s,2026-03-15 16:14:28Z,9.417e-6,9.417e-6,9.417e-6,1000
100,system,empty_systems,evolved,s,2026-03-15 16:14:33Z,0.000022708,0.0000225,0.000022833,1000
100,system,empty_systems,lovetoys,s,2026-03-15 16:14:37Z,2.125e-6,2.125e-6,2.125e-6,1000
100,system,empty_systems,nata,s,2026-03-15 16:14:45Z,2.417e-6,2.417e-6,2.417e-6,1000
100,system,empty_systems,tinyecs,s,2026-03-15 16:14:49Z,3.208e-6,3.208e-6,3.25e-6,1000
100,system,empty_systems,concord,kb,2026-03-15 16:14:55Z,0.0001,0.0001,0.0001,100
100,system,empty_systems,ecs-lua,kb,2026-03-15 16:15:36Z,2.8359,2.8359,2.8359,100
100,system,empty_systems,evolved,kb,2026-03-15 16:16:00Z,0.0001,0.0001,0.0001,100
100,system,empty_systems,lovetoys,kb,2026-03-15 16:16:22Z,0.0001,0.0001,0.0001,100
100,system,empty_systems,nata,kb,2026-03-15 16:16:51Z,0.0001,0.0001,0.0001,100
100,system,empty_systems,tinyecs,kb,2026-03-15 16:17:15Z,0.0001,0.0001,0.0001,100
100,structural_scaling,create,concord,s,2026-03-15 16:17:38Z,0.0014985,0.001495708,0.0015027085,98
100,structural_scaling,create,ecs-lua-batch,s,2026-03-15 16:20:03Z,0.000367958,0.000367208,0.0003685835,330
100,structural_scaling,create,ecs-lua-nobatch,s,2026-03-15 16:20:38Z,0.000394729,0.000393917,0.000395458,334
100,structural_scaling,create,evolved-batch,s,2026-03-15 16:21:16Z,0.000010958,0.000010958,0.000010958,1000
100,structural_scaling,create,evolved-nobatch,s,2026-03-15 16:21:26Z,0.000046875,0.000046875,0.000046917,1000
100,structural_scaling,create,lovetoys,s,2026-03-15 16:21:35Z,0.000701208,0.000700625,0.000702146,308
100,structural_scaling,create,nata,s,2026-03-15 16:22:12Z,0.000195958,0.000195625,0.000196375,752
100,structural_scaling,create,tinyecs,s,2026-03-15 16:22:28Z,0.00021975,0.000219375,0.00022025,605
100,structural_scaling,create,concord,kb,2026-03-15 16:22:54Z,152.6719,152.6719,152.6719,100
100,structural_scaling,create,ecs-lua-batch,kb,2026-03-15 16:25:46Z,236.9297,236.9297,236.9297,100
